nM,kinetics,PDB_WT,PDB_MUT,ligand,protein,DFG_conformation,method,DSX.Score,DSX.PCS,DSX.SAS,DSX.ScoreWithoutSAS,DSXcsd.Score,DSXcsd.PCS,DSXcsd.SAS,DSXcsd.ScoreWithoutSAS,HADDOCK.TotalScoreElec01,HADDOCK.TotalScoreElec02,HADDOCK.vdW,HADDOCK.Electrostatics,HADDOCK.BSA,HADDOCKmean.TotalScoreElec02,HADDOCKmean.vdW,HADDOCKmean.Electrostatics,HADDOCKmean.Desolvation,HADDOCKmean.RestraintsViolation,HADDOCKmean.BSA,KDEEP.pKd,KDEEP.DeltaG,KDEEP.LigEff,KDEEP.protonated.pKd,KDEEP.protonated.DeltaG,KDEEP.protonated.LigEff,PDBePISA.InterfaceAreaA2,PDBePISA.DeltaG,PDBePISA.DeltaGPvalue,PDBePISA.NHB,Pose,Rank,PRODIGY.DeltaG,PRODIGY.CC,PRODIGY.CO,PRODIGY.CN,PRODIGY.CX,PRODIGY.OO,PRODIGY.OX,PRODIGY.NO,PRODIGY.NN,PRODIGY.NX,PRODIGY.XX
94.1,IC50,2iw9,2iw8,4SP,CDK2,in_to_in,radiolabeling,-1.253,0.004,1.837,-3.09,1.981,0.009,1.837,0.144,-14.215,-14.4863,-7.4214,-2.787,-4.119,-7.8,-5.1,4,-3.5,-0.2,10.3,0.069645881,-0.09,-0.01,-0.002038478,0,0,18.5,-0.5,0.003,0,3.36,2.94,0.5747478,-42,-4,-1,-3,1,1,7,16,2,0
-11,IC50,2qoh,2z60,P3Y,ABL1,in_to_in,spectrophotometry,-1.972,-0.001,0.204,-2.176,-5.893,-0.006,0.204,-6.097,2.5706,4.5036,2.771,5.976,3.398,6.2,3.5,2.3,2.2,0,1.8,0.044816017,-0.06,0,0.037904739,-0.05,0,-4.8,-0.9,-0.076,0,5.24,5.24,-0.0715537,7,-1,5,1,-2,0,-4,-1,0,0
13,IC50,3f3v,3f3w,1BU,Src,out_to_out,FRET,-3.077,-0.003,4.325,-7.402,-1.333,-0.001,4.325,-5.658,-1.716,-1.509,-1.1051,8.759,-9.73,0.9,1.4,4.6,-1.5,-0.2,-13.3,0.33086586,-0.45,-0.01,0.247966767,-0.34,-0.01,-0.8,0.6,0.03,-1,-10.07,-8.28,0.0095348,54,-34,38,25,-3,1,-7,8,8,0
3.2,IC50,3qri,3qrj,919,ABL1,out_to_out,spectrophotometry,-5.06,-0.009,-8.331,3.271,2.522,-0.002,-8.331,10.853,-2.3037,-2.77,3.3519,-8.0846,-18.62,-3.9,1.8,-1.8,-5.4,0.3,-13.5,-0.151959896,0.2,0,-0.001417636,0,0,-7.2,0.9,0.086,1,-0.8,-5.26,-0.1214576,-2,-43,7,-3,-4,-1,-11,-2,-3,0
12.1,IC50,3w2s,3w2r,W2R,EGFR,in_to_in,radiolabeling,29.188,0.009,-1.034,30.222,20.646,0.001,-1.034,21.68,-1.3635,-0.2286,-4.1123,17.1583,-7.27,-2.3,-3.3,8.9,-0.8,0.4,-7.6,-0.313467979,0.43,0.01,-0.528448104,0.71,0.02,-1.1,-0.1,-0.006,-3,21.14,13.85,-0.3973839,40,-3,116,21,-9,4,2,16,9,1
87.5,IC50,5ap0,5ap3,AU5,MPS1,in_to_in,electrochemiluminescence,3.099,-0.002,-7.071,10.17,1.898,-0.004,-7.071,8.969,-10.616,-8.7651,-1.5336,26.0479,-28.568,-6,-2.1,15.8,-7.1,0,0,-0.371912003,0.5,0.01,-0.384098053,0.52,0.02,-16.2,0.2,0.037,0,5.52,2.3,0.1346662,-14,-13,1,0,-1,0,0,4,0,0
339.2,IC50,5ap1,5ap4,O38,MPS1,out_to_in,electrochemiluminescence,0.983,-0.004,0.465,0.518,0.447,-0.005,0.465,-0.018,-5.3034,3.6431,-2.2534,47.36,-20.349,4,-1.7,88.2,-12.1,1.4,-27.3,-0.208701134,0.28,0.01,-0.218696594,0.3,0.01,-9.7,-0.3,-0.047,0,7.83,4.89,0.0921099,-101,-79,-57,-3,1,0,-32,-9,-2,0
10,IC50,5ap2,5ap6,PWU,MPS1,in_to_in,electrochemiluminescence,-0.11,0.012,0.867,-0.977,-5.022,0.005,0.867,-5.889,-4.3018,-6.412,-6.1462,-14.9011,-19.298,-5,-6.7,-16.9,5,0.4,-18.5,-0.04486084,0.06,0,-0.010736465,0.01,0,5,0.4,0.012,0,-2.5,0.56,-0.4156323,193,50,92,-30,4,-2,7,7,-5,0
-17,Kd,1xh4,1xh9,R69,PKA,in_to_in,ELISA,-9.459,-0.011,-3.176,-6.283,-5.508,-0.006,-3.176,-2.332,21.5622,26.274,0.5283,34.654,-32.4,19.6,2.3,1.6,17.1,0,-29,0.275617122,-0.37,-0.01,0.303937912,-0.41,-0.01,-19,0.2,-0.106,2,-0.57,-1.27,-0.0144332,-27,13,2,15,0,2,5,0,4,0
70.1,Kd,2ity,2ito,IRE,EGFR,in_to_in,spectrofluorometry,-14.295,-0.005,-8.096,-6.199,-14.96,-0.007,-8.096,-6.864,-17.3929,-20.1456,-0.7659,-35.4603,18.168,-22,-0.3,-33.7,-15,0.2,8,-0.016548156,0.02,0,0.008359432,-0.01,0,-3.8,0.6,0.069,0,-13.87,-9.86,-0.2459767,72,83,39,11,9,6,10,1,0,0
