kinetics	nM	DSXcsd.ScoreWithoutSAS	HADDOCKweb.TotalScoreElec02	KDEEP.protonated.pKd	KDEEP.protonated.DeltaG	PDBePISA.DeltaG	Pose	Rank	PRODIGY.DeltaG
IC50	87.50	8.97	-6.00	-0.38	0.52	0.20	5.52	2.30	0.13
IC50	339.20	-0.02	4.00	-0.22	0.30	-0.30	7.83	4.89	0.09
IC50	10.00	-5.89	-5.00	-0.01	0.01	0.40	-2.50	0.56	-0.42
IC50	13.00	-5.66	0.90	0.25	-0.34	0.60	-10.07	-8.28	0.01
IC50	3.20	10.85	-3.90	0.00	0.00	0.90	-0.80	-5.26	-0.12
IC50	94.10	0.14	-7.80	0.00	0.00	-0.50	3.36	2.94	0.57
IC50	12.10	21.68	-2.30	-0.53	0.71	-0.10	21.14	13.85	-0.40
IC50	-11.00	-6.10	6.20	0.04	-0.05	-0.90	5.24	5.24	-0.07
Kd	0.40	-27.40	-2.40	0.21	-0.28	-0.30	-7.25	-3.08	-0.23
Kd	-9.20	-31.80	-8.80	0.56	-0.76	0.20	0.57	3.99	-0.06
Kd	70.10	-6.86	-22.00	0.01	-0.01	0.60	-13.87	-9.86	-0.25
Kd	-50.90	-10.52	-3.90	-0.04	0.05	-0.20	-10.50	-7.08	-0.14
Kd	-120.50	5.47	-22.10	-0.04	0.05	-0.60	3.97	1.91	-0.06
Kd	28.27	-0.39	0.70	0.11	-0.14	2.00	0.18	-1.05	0.04
Kd	20.47	9.53	-8.20	0.17	-0.22	-0.30	5.16	3.06	-0.12
Kd	-17.00	-2.33	19.60	0.30	-0.41	0.20	-0.57	-1.27	-0.01
Kd	2.00	3.47	5.00	-0.40	0.54	-0.30	2.46	1.07	0.34
Ki	-3.70	-2.76	4.30	0.02	-0.02	1.60	3.72	1.31	-0.23
Ki	0.63	0.44	14.50	0.31	-0.43	-0.20	1.28	-0.78	0.07
Ki	583.00	3.58	-23.70	0.12	-0.16	-0.10	8.47	3.13	-0.18
Ki	-214.60	-6.88	2.90	0.19	-0.26	0.30	-9.39	-6.65	-0.63
Ki	-1071.00	-15.93	-0.10	0.38	-0.52	0.20	-3.25	0.40	-0.35
Ki	-1071.00	-13.14	0.50	0.37	-0.50	0.60	-0.72	0.70	-0.26
